age,height,weight,throws,brk,pitches,starter,before,TJ,diff,S
38,76,230,R,8.893746123068512,3209,TRUE,88.92486631016043,0,NA,FALSE
39,76,230,R,7.313504063712683,835,TRUE,89.42566371681416,0,NA,FALSE
40,76,230,R,7.9048774005528175,2683,TRUE,90.14182076813655,0,NA,FALSE
42,74,185,R,9.990006397150257,3049,TRUE,86.53367875647669,0,NA,FALSE
42,74,210,R,10.79912241467749,110,FALSE,85.42258064516129,0,NA,FALSE
37,74,210,R,7.331875326243551,1600,TRUE,92.58253164556962,0,NA,FALSE
38,74,210,R,8.135087191369138,1427,TRUE,91.403125,0,NA,FALSE
39,74,210,R,7.887700102667893,1082,FALSE,91.22046511627907,0,NA,FALSE
41,75,200,R,12.278199306481511,778,FALSE,91.74511278195489,0,NA,FALSE
42,75,200,R,11.822206553047742,218,FALSE,90.26666666666667,0,NA,FALSE
38,77,235,L,9.076418504899994,3207,TRUE,88.9,0,-0.9906403940886861,TRUE
39,77,235,L,9.20999041389065,3238,TRUE,89.09201877934272,0,-0.041358515237078564,TRUE
40,77,235,L,8.583111289319396,1997,TRUE,89.1492385786802,0,NA,FALSE
42,77,235,L,9.380891196473033,1129,TRUE,87.90935960591132,0,NA,FALSE
43,77,235,L,8.104771169654262,2896,TRUE,89.05066026410564,0,NA,FALSE
33,75,250,L,7.843510383065361,660,FALSE,89.30985507246378,0,NA,FALSE
34,75,250,L,7.513983060138836,655,FALSE,89.65239436619719,0,NA,FALSE
35,75,250,L,7.302381049401374,608,FALSE,89.90357142857142,0,NA,FALSE
40,73,230,R,11.558005535674779,359,FALSE,87.33216080402009,0,NA,FALSE
41,74,195,R,8.053351874363115,997,FALSE,92.96723549488055,0,-2.5201766713511518,TRUE
42,74,195,R,6.768917094344186,1033,FALSE,91.87222222222222,0,0.015689865689864746,TRUE
43,74,195,R,7.747986473629366,920,FALSE,91.95548780487805,0,NA,FALSE
44,74,195,R,7.879927005903761,912,FALSE,92.09807692307693,0,NA,FALSE
45,74,195,R,8.743059104293996,147,FALSE,90.4470588235294,0,NA,FALSE
46,74,195,R,7.780553822845893,956,FALSE,91.88791208791208,0,NA,FALSE
46,73,200,L,9.409318766590047,2701,TRUE,87.26748387096775,0,NA,FALSE
36,74,170,L,9.253628166879057,1393,TRUE,89.07375886524822,0,NA,FALSE
37,74,170,L,8.915378700070443,307,FALSE,89.21578947368421,0,NA,FALSE
38,77,185,R,11.10708506303299,308,TRUE,86.50949720670391,0,NA,FALSE
42,70,185,R,8.681208882748,681,FALSE,90.67416666666666,0,NA,FALSE
42,71,180,L,9.057097813018071,708,FALSE,80.86198347107437,0,NA,FALSE
43,71,180,L,10.4609958370496,441,FALSE,80.04425087108014,0,NA,FALSE
42,76,195,R,9.79423853226474,851,FALSE,91.62164948453608,0,NA,FALSE
43,76,195,R,10.394226024377385,1053,FALSE,91.209726443769,0,NA,FALSE
35,74,225,R,8.999399513725814,2718,TRUE,87.21061946902655,0,-1.1864436448507263,TRUE
36,74,225,R,8.95352894718075,2723,TRUE,87.46712846347606,0,NA,FALSE
37,74,225,R,9.69975928714943,1610,TRUE,87.20892018779342,0,NA,FALSE
39,74,225,R,7.863120826474921,504,TRUE,86.02417582417583,0,NA,FALSE
37,74,165,R,8.383446163984166,1044,FALSE,90.52068965517242,0,NA,FALSE
38,74,165,R,6.129332145616651,689,FALSE,90.30436893203884,0,NA,FALSE
44,76,205,R,10.040094563322224,795,FALSE,91.9403162055336,0,NA,FALSE
37,76,220,R,10.361768997771287,1233,TRUE,92.84545454545454,0,NA,FALSE
38,76,220,R,9.541832137558321,916,TRUE,92.0235119047619,0,NA,FALSE
40,76,220,R,8.7700575424698,289,FALSE,90.79509202453988,0,NA,FALSE
38,71,150,R,10.489158023040583,1277,FALSE,92.38491620111732,0,NA,FALSE
40,75,185,R,9.793702745960235,680,TRUE,85.36485714285715,0,NA,FALSE
40,75,245,L,10.120902521887153,951,FALSE,90.52366666666666,0,NA,FALSE
41,75,245,L,9.514443714742274,922,FALSE,88.96700507614213,0,NA,FALSE
44,74,210,R,8.031466019420725,2650,TRUE,73.0050139275766,0,NA,FALSE
45,74,210,R,7.4436076442672725,2011,TRUE,72.37906976744186,0,NA,FALSE
46,74,210,R,7.481444744059933,2150,TRUE,72.77969924812031,0,NA,FALSE
47,74,210,R,7.235109574967185,2411,TRUE,72.94663461538461,0,NA,FALSE
39,74,190,L,9.476784546850464,637,FALSE,85.0656050955414,0,NA,FALSE
40,74,190,L,10.507691942126582,212,FALSE,84.98260869565217,0,NA,FALSE
41,75,205,R,7.814061868920684,1184,FALSE,87.41747211895911,0,NA,FALSE
42,75,205,R,8.117797325840572,1010,FALSE,88.5707509881423,0,NA,FALSE
36,78,240,R,9.849697994196148,1418,FALSE,91.86905071521457,0,-0.5907561415711626,TRUE
37,78,240,R,10.236422074567107,1331,FALSE,92.16702269692925,0,-2.6696658687354073,TRUE
38,78,240,R,9.929563825483806,903,FALSE,90.93909465020576,0,-0.41090932202043007,TRUE
39,78,240,R,9.043012879663634,1079,FALSE,91.48776699029126,0,NA,FALSE
40,78,240,R,9.331621794128086,1151,TRUE,91.27829457364341,0,NA,FALSE
41,78,240,R,8.73948813413456,1115,TRUE,89.49735682819384,0,NA,FALSE
42,78,240,R,7.597523513318627,1077,TRUE,90.52818532818533,0,NA,FALSE
36,76,210,R,10.342637908522608,3145,TRUE,90.41390339425588,0,NA,FALSE
37,76,210,R,9.921255348793592,3266,TRUE,89.38460236886634,0,NA,FALSE
36,73,190,L,8.803836554384686,2581,TRUE,87.57294882209585,0,NA,FALSE
